,status_of_existing_checking_account,duration_in_month,credit_history,purpose,credit_amount,savings_account/bonds,present_employment_since,installment_rate_in_percentage_of_disposable_income,personal_status_and_sex,sex,other_debtors/guarantors,present_residence_since,property,age_in_years,other_installment_plans,housing,number_of_existing_credits_at_this_bank,job,number_of_people_being_liable_to_provide_maintenance_for,telephone,foreign_worker,credit_risk
0,1,6,critical_account/other_credits_existing_not_at_this_bank,radio/television,1169,0,4,4,male_single,male,none,4,real_estate,67,none,own,2,2,1,1,1,1
1,2,48,existing_credits_paid_back_duly_till_now,radio/television,5951,1,2,2,female_divorced/separated/married,female,none,2,real_estate,22,none,own,1,2,1,0,1,0
2,0,12,critical_account/other_credits_existing_not_at_this_bank,education,2096,1,3,2,male_single,male,none,3,real_estate,49,none,own,1,1,2,0,1,1
3,1,42,existing_credits_paid_back_duly_till_now,furniture/equipment,7882,1,3,2,male_single,male,guarantor,4,building_society_savings_agreement/life_insurance,45,none,for free,1,2,2,0,1,1
4,1,24,delay_in_paying_off_in_the_past,car_(new),4870,1,2,3,male_single,male,none,4,unknown/no_property,53,none,for free,2,2,2,0,1,0
5,0,36,existing_credits_paid_back_duly_till_now,education,9055,0,2,2,male_single,male,none,4,unknown/no_property,35,none,for free,1,1,2,1,1,1
6,0,24,existing_credits_paid_back_duly_till_now,furniture/equipment,2835,3,4,3,male_single,male,none,4,building_society_savings_agreement/life_insurance,53,none,own,1,2,1,0,1,1
7,2,36,existing_credits_paid_back_duly_till_now,car_(used),6948,1,2,2,male_single,male,none,2,car_or_other,35,none,rent,1,3,1,1,1,1
8,0,12,existing_credits_paid_back_duly_till_now,radio/television,3059,4,3,2,male_divorced/separated,male,none,4,real_estate,61,none,own,1,1,1,0,1,1
9,2,30,critical_account/other_credits_existing_not_at_this_bank,car_(new),5234,1,0,4,male_married/widowed,male,none,2,car_or_other,28,none,own,2,3,1,0,1,0
10,2,12,existing_credits_paid_back_duly_till_now,car_(new),1295,1,1,3,female_divorced/separated/married,female,none,1,car_or_other,25,none,rent,1,2,1,0,1,0
11,1,48,existing_credits_paid_back_duly_till_now,business,4308,1,1,3,female_divorced/separated/married,female,none,4,building_society_savings_agreement/life_insurance,24,none,rent,1,2,1,0,1,0
12,2,12,existing_credits_paid_back_duly_till_now,radio/television,1567,1,2,1,female_divorced/separated/married,female,none,1,car_or_other,22,none,own,1,2,1,1,1,1
13,1,24,critical_account/other_credits_existing_not_at_this_bank,car_(new),1199,1,4,4,male_single,male,none,4,car_or_other,60,none,own,2,1,1,0,1,0
14,1,15,existing_credits_paid_back_duly_till_now,car_(new),1403,1,2,2,female_divorced/separated/married,female,none,4,car_or_other,28,none,rent,1,2,1,0,1,1
15,1,24,existing_credits_paid_back_duly_till_now,radio/television,1282,2,2,4,female_divorced/separated/married,female,none,2,car_or_other,32,none,own,1,1,1,0,1,0
16,0,24,critical_account/other_credits_existing_not_at_this_bank,radio/television,2424,0,4,4,male_single,male,none,4,building_society_savings_agreement/life_insurance,53,none,own,2,2,1,0,1,1
17,1,30,no_credits_taken/all_credits_paid_back_duly,business,8072,0,1,2,male_single,male,none,3,car_or_other,25,bank,own,3,2,1,0,1,1
18,2,24,existing_credits_paid_back_duly_till_now,car_(used),12579,1,4,4,female_divorced/separated/married,female,none,2,unknown/no_property,44,none,for free,1,3,1,1,1,0
19,0,24,existing_credits_paid_back_duly_till_now,radio/television,3430,3,4,3,male_single,male,none,2,car_or_other,31,none,own,1,2,2,1,1,1
20,0,9,critical_account/other_credits_existing_not_at_this_bank,car_(new),2134,1,2,4,male_single,male,none,4,car_or_other,48,none,own,3,2,1,1,1,1
21,1,6,existing_credits_paid_back_duly_till_now,radio/television,2647,3,2,2,male_single,male,none,3,real_estate,44,none,rent,1,2,2,0,1,1
22,1,10,critical_account/other_credits_existing_not_at_this_bank,car_(new),2241,1,1,1,male_single,male,none,3,real_estate,48,none,rent,2,1,2,0,0,1
23,2,12,critical_account/other_credits_existing_not_at_this_bank,car_(used),1804,2,1,3,male_single,male,none,4,building_society_savings_agreement/life_insurance,44,none,own,1,2,1,0,1,1
24,0,10,critical_account/other_credits_existing_not_at_this_bank,furniture/equipment,2069,0,2,2,male_married/widowed,male,none,1,car_or_other,26,none,own,2,2,1,0,0,1
25,1,6,existing_credits_paid_back_duly_till_now,furniture/equipment,1374,1,2,1,male_single,male,none,2,real_estate,36,bank,own,1,1,1,1,1,1
26,0,6,no_credits_taken/all_credits_paid_back_duly,radio/television,426,1,4,4,male_married/widowed,male,none,4,car_or_other,39,none,own,1,1,1,0,1,1
27,3,12,all_credits_at_this_bank_paid_back_duly,radio/television,409,4,2,3,female_divorced/separated/married,female,none,3,real_estate,42,none,rent,2,2,1,0,1,1
28,2,7,existing_credits_paid_back_duly_till_now,radio/television,2415,1,2,3,male_single,male,guarantor,2,real_estate,34,none,own,1,2,1,0,1,1
29,1,60,delay_in_paying_off_in_the_past,business,6836,1,4,3,male_single,male,none,4,unknown/no_property,63,none,own,2,2,1,1,1,0
30,2,18,existing_credits_paid_back_duly_till_now,business,1913,4,1,3,male_married/widowed,male,none,3,real_estate,36,bank,own,1,2,1,1,1,1
31,1,24,existing_credits_paid_back_duly_till_now,furniture/equipment,4020,1,2,2,male_single,male,none,2,car_or_other,27,stores,own,1,2,1,0,1,1
32,2,18,existing_credits_paid_back_duly_till_now,car_(new),5866,2,2,2,male_single,male,none,2,car_or_other,30,none,own,2,2,1,1,1,1
33,0,12,critical_account/other_credits_existing_not_at_this_bank,business,1264,0,4,4,male_single,male,none,4,unknown/no_property,57,none,rent,1,1,1,0,1,1
34,3,12,existing_credits_paid_back_duly_till_now,furniture/equipment,1474,1,1,4,female_divorced/separated/married,female,none,1,building_society_savings_agreement/life_insurance,33,bank,own,1,3,1,1,1,1
35,2,45,critical_account/other_credits_existing_not_at_this_bank,radio/television,4746,1,1,4,male_single,male,none,2,building_society_savings_agreement/life_insurance,25,none,own,2,1,1,0,1,0
36,0,48,critical_account/other_credits_existing_not_at_this_bank,education,6110,1,2,1,male_single,male,none,3,unknown/no_property,31,bank,for free,1,2,1,1,1,1
37,3,18,existing_credits_paid_back_duly_till_now,radio/television,2100,1,2,4,male_single,male,co-applicant,2,real_estate,37,stores,own,1,2,1,0,1,0
38,3,10,existing_credits_paid_back_duly_till_now,domestic_appliances,1225,1,2,2,male_single,male,none,2,car_or_other,37,none,own,1,2,1,1,1,1
39,2,9,existing_credits_paid_back_duly_till_now,radio/television,458,1,2,4,male_single,male,none,3,real_estate,24,none,own,1,2,1,0,1,1
40,0,30,existing_credits_paid_back_duly_till_now,radio/television,2333,3,4,4,male_single,male,none,2,car_or_other,30,bank,own,1,3,1,0,1,1
41,2,12,existing_credits_paid_back_duly_till_now,radio/television,1158,3,2,3,male_divorced/separated,male,none,1,car_or_other,26,none,own,1,2,1,1,1,1
42,2,18,delay_in_paying_off_in_the_past,repairs,6204,1,2,2,male_single,male,none,4,real_estate,44,none,own,1,1,2,1,1,1
43,1,30,critical_account/other_credits_existing_not_at_this_bank,car_(used),6187,2,3,1,male_married/widowed,male,none,4,car_or_other,24,none,rent,2,2,1,0,1,1
44,1,48,critical_account/other_credits_existing_not_at_this_bank,car_(used),6143,1,4,4,female_divorced/separated/married,female,none,4,unknown/no_property,58,stores,for free,2,1,1,0,1,0
45,0,11,critical_account/other_credits_existing_not_at_this_bank,car_(new),1393,1,1,4,female_divorced/separated/married,female,none,4,car_or_other,35,none,own,2,3,1,0,1,1
46,0,36,existing_credits_paid_back_duly_till_now,radio/television,2299,3,4,4,male_single,male,none,4,car_or_other,39,none,own,1,2,1,0,1,1
47,1,6,existing_credits_paid_back_duly_till_now,car_(used),1352,3,0,1,female_divorced/separated/married,female,none,2,building_society_savings_agreement/life_insurance,23,none,rent,1,0,1,1,1,1
48,0,11,critical_account/other_credits_existing_not_at_this_bank,car_(new),7228,1,2,1,male_single,male,none,4,building_society_savings_agreement/life_insurance,39,none,own,2,1,1,0,1,1
49,0,12,existing_credits_paid_back_duly_till_now,radio/television,2073,2,2,4,female_divorced/separated/married,female,co-applicant,2,real_estate,28,none,own,1,2,1,0,1,1
50,2,24,delay_in_paying_off_in_the_past,furniture/equipment,2333,0,1,4,male_single,male,none,2,building_society_savings_agreement/life_insurance,29,bank,own,1,1,1,0,1,1
51,2,27,delay_in_paying_off_in_the_past,car_(used),5965,1,4,1,male_single,male,none,2,car_or_other,30,none,own,2,3,1,1,1,1
52,0,12,existing_credits_paid_back_duly_till_now,radio/television,1262,1,2,3,male_single,male,none,2,car_or_other,25,none,own,1,2,1,0,1,1
53,0,18,existing_credits_paid_back_duly_till_now,car_(used),3378,0,2,2,male_single,male,none,1,building_society_savings_agreement/life_insurance,31,none,own,1,2,1,1,1,1
54,2,36,delay_in_paying_off_in_the_past,car_(new),2225,1,4,4,male_single,male,none,4,unknown/no_property,57,bank,for free,2,2,1,1,1,0
55,0,6,all_credits_at_this_bank_paid_back_duly,car_(new),783,0,2,1,male_single,male,guarantor,2,real_estate,26,stores,own,1,1,2,0,1,1
56,2,12,existing_credits_paid_back_duly_till_now,radio/television,6468,0,0,2,male_single,male,none,1,unknown/no_property,52,none,own,1,3,1,1,1,0
57,0,36,critical_account/other_credits_existing_not_at_this_bank,radio/television,9566,1,2,2,female_divorced/separated/married,female,none,2,car_or_other,31,stores,own,2,2,1,0,1,1
58,3,18,existing_credits_paid_back_duly_till_now,car_(new),1961,1,4,3,female_divorced/separated/married,female,none,2,car_or_other,23,none,own,1,3,1,0,1,1
59,1,36,critical_account/other_credits_existing_not_at_this_bank,furniture/equipment,6229,1,1,4,female_divorced/separated/married,female,co-applicant,4,unknown/no_property,23,none,rent,2,1,1,1,1,0
60,2,9,existing_credits_paid_back_duly_till_now,business,1391,1,2,2,male_married/widowed,male,none,1,real_estate,27,bank,own,1,2,1,1,1,1
61,2,15,critical_account/other_credits_existing_not_at_this_bank,radio/television,1537,0,4,4,male_single,male,guarantor,4,real_estate,50,none,own,2,2,1,1,1,1
62,2,36,no_credits_taken/all_credits_paid_back_duly,business,1953,1,4,4,male_single,male,none,4,unknown/no_property,61,none,for free,1,3,1,1,1,0
63,2,48,no_credits_taken/all_credits_paid_back_duly,business,14421,1,2,2,male_single,male,none,2,car_or_other,25,none,own,1,2,1,1,1,0
64,0,24,existing_credits_paid_back_duly_till_now,radio/television,3181,1,1,4,female_divorced/separated/married,female,none,4,building_society_savings_agreement/life_insurance,26,none,own,1,2,1,1,1,1
65,0,27,existing_credits_paid_back_duly_till_now,repairs,5190,0,4,4,male_single,male,none,4,building_society_savings_agreement/life_insurance,48,none,own,4,2,2,1,1,1
66,0,12,existing_credits_paid_back_duly_till_now,radio/television,2171,1,1,2,female_divorced/separated/married,female,none,2,car_or_other,29,bank,own,1,2,1,0,1,1
67,2,12,existing_credits_paid_back_duly_till_now,car_(new),1007,4,2,4,male_married/widowed,male,none,1,real_estate,22,none,own,1,2,1,0,1,1
68,0,36,existing_credits_paid_back_duly_till_now,education,1819,1,2,4,male_single,male,none,4,unknown/no_property,37,stores,for free,1,2,1,1,1,0
69,0,36,existing_credits_paid_back_duly_till_now,radio/television,2394,0,2,4,female_divorced/separated/married,female,none,4,car_or_other,25,none,own,1,2,1,0,1,1
70,0,36,existing_credits_paid_back_duly_till_now,car_(used),8133,1,2,1,female_divorced/separated/married,female,none,2,building_society_savings_agreement/life_insurance,30,bank,own,1,2,1,0,1,1
71,0,7,critical_account/other_credits_existing_not_at_this_bank,radio/television,730,0,4,4,male_single,male,none,2,building_society_savings_agreement/life_insurance,46,none,rent,2,1,1,1,1,1
72,1,8,critical_account/other_credits_existing_not_at_this_bank,others,1164,1,4,3,male_single,male,none,4,unknown/no_property,51,bank,for free,2,3,2,1,1,1
73,2,42,critical_account/other_credits_existing_not_at_this_bank,business,5954,1,3,2,female_divorced/separated/married,female,none,1,real_estate,41,bank,own,2,1,1,0,1,1
74,1,36,existing_credits_paid_back_duly_till_now,education,1977,0,4,4,male_single,male,none,4,unknown/no_property,40,none,own,1,3,1,1,1,0
75,1,12,critical_account/other_credits_existing_not_at_this_bank,car_(used),1526,1,4,4,male_single,male,none,4,unknown/no_property,66,none,for free,2,3,1,0,1,1
76,1,42,existing_credits_paid_back_duly_till_now,radio/television,3965,1,1,4,male_single,male,none,3,car_or_other,34,none,own,1,2,1,0,1,0
77,2,11,delay_in_paying_off_in_the_past,radio/television,4771,1,3,2,male_single,male,none,4,building_society_savings_agreement/life_insurance,51,none,own,1,2,1,0,1,1
78,0,54,no_credits_taken/all_credits_paid_back_duly,car_(used),9436,0,2,2,male_single,male,none,2,building_society_savings_agreement/life_insurance,39,none,own,1,1,2,0,1,1
79,2,30,existing_credits_paid_back_duly_till_now,furniture/equipment,3832,1,1,2,male_married/widowed,male,none,1,building_society_savings_agreement/life_insurance,22,none,own,1,2,1,0,1,1
80,0,24,existing_credits_paid_back_duly_till_now,radio/television,5943,0,1,1,female_divorced/separated/married,female,none,1,car_or_other,44,none,own,2,2,1,1,1,0
81,0,15,existing_credits_paid_back_duly_till_now,radio/television,1213,3,4,4,male_single,male,none,3,building_society_savings_agreement/life_insurance,47,stores,own,1,2,1,1,1,1
82,0,18,existing_credits_paid_back_duly_till_now,business,1568,2,2,3,female_divorced/separated/married,female,none,4,building_society_savings_agreement/life_insurance,24,none,rent,1,1,1,0,1,1
83,1,24,existing_credits_paid_back_duly_till_now,others,1755,1,4,4,female_divorced/separated/married,female,guarantor,4,real_estate,58,none,own,1,1,1,1,1,1
84,1,10,existing_credits_paid_back_duly_till_now,radio/television,2315,1,4,3,male_single,male,none,4,real_estate,52,none,own,1,1,1,0,1,1
85,0,12,critical_account/other_credits_existing_not_at_this_bank,business,1412,1,2,4,female_divorced/separated/married,female,guarantor,2,real_estate,29,none,own,2,3,1,1,1,1
86,2,18,critical_account/other_credits_existing_not_at_this_bank,furniture/equipment,1295,1,1,4,female_divorced/separated/married,female,none,1,building_society_savings_agreement/life_insurance,27,none,own,2,2,1,0,1,1
87,2,36,existing_credits_paid_back_duly_till_now,education,12612,2,2,1,male_single,male,none,4,unknown/no_property,47,none,for free,1,2,2,1,1,0
88,1,18,existing_credits_paid_back_duly_till_now,car_(new),2249,2,3,4,male_single,male,none,3,car_or_other,30,none,own,1,3,2,1,1,1
89,1,12,no_credits_taken/all_credits_paid_back_duly,repairs,1108,1,3,4,male_single,male,none,3,real_estate,28,none,own,2,2,1,0,1,0
90,0,12,critical_account/other_credits_existing_not_at_this_bank,radio/television,618,1,4,4,male_single,male,none,4,real_estate,56,none,own,1,2,1,0,1,1
91,1,12,critical_account/other_credits_existing_not_at_this_bank,car_(used),1409,1,4,4,male_single,male,none,3,real_estate,54,none,own,1,2,1,0,1,1
92,0,12,critical_account/other_credits_existing_not_at_this_bank,radio/television,797,0,4,4,female_divorced/separated/married,female,none,3,building_society_savings_agreement/life_insurance,33,bank,own,1,1,2,0,1,0
93,3,24,critical_account/other_credits_existing_not_at_this_bank,furniture/equipment,3617,0,4,4,male_single,male,co-applicant,4,unknown/no_property,20,none,rent,2,2,1,0,1,1
94,2,12,existing_credits_paid_back_duly_till_now,car_(new),1318,4,4,4,male_single,male,none,4,real_estate,54,none,own,1,2,1,1,1,1
95,2,54,no_credits_taken/all_credits_paid_back_duly,business,15945,1,1,3,male_single,male,none,4,unknown/no_property,58,none,rent,1,2,1,1,1,0
96,0,12,critical_account/other_credits_existing_not_at_this_bank,education,2012,0,3,4,female_divorced/separated/married,female,none,2,car_or_other,61,none,own,1,2,1,0,1,1
97,2,18,existing_credits_paid_back_duly_till_now,business,2622,2,2,4,male_single,male,none,4,car_or_other,34,none,own,1,2,1,0,1,1
98,2,36,critical_account/other_credits_existing_not_at_this_bank,radio/television,2337,1,4,4,male_single,male,none,4,real_estate,36,none,own,1,2,1,0,1,1
99,2,20,delay_in_paying_off_in_the_past,car_(used),7057,0,3,3,male_single,male,none,4,building_society_savings_agreement/life_insurance,36,bank,rent,2,3,2,1,1,1
100,0,24,existing_credits_paid_back_duly_till_now,car_(new),1469,2,4,4,male_married/widowed,male,none,4,real_estate,41,none,rent,1,1,1,0,1,1
101,2,36,existing_credits_paid_back_duly_till_now,radio/television,2323,1,3,4,male_single,male,none,4,car_or_other,24,none,rent,1,2,1,0,1,1
102,0,6,delay_in_paying_off_in_the_past,radio/television,932,1,2,3,female_divorced/separated/married,female,none,2,real_estate,24,none,own,1,2,1,0,1,1
103,2,9,critical_account/other_credits_existing_not_at_this_bank,furniture/equipment,1919,1,3,4,male_single,male,none,3,car_or_other,35,none,rent,1,2,1,1,1,1
104,0,12,existing_credits_paid_back_duly_till_now,car_(used),2445,0,1,2,male_married/widowed,male,none,4,car_or_other,26,none,rent,1,2,1,1,1,1
105,2,24,critical_account/other_credits_existing_not_at_this_bank,others,11938,1,2,2,male_single,male,co-applicant,3,car_or_other,39,none,own,2,3,2,1,1,0
106,0,18,all_credits_at_this_bank_paid_back_duly,car_(new),6458,1,4,2,male_single,male,none,4,unknown/no_property,39,bank,own,2,3,2,1,1,0
107,2,12,existing_credits_paid_back_duly_till_now,car_(new),6078,1,3,2,male_single,male,none,2,car_or_other,32,none,own,1,2,1,0,1,1
108,1,24,existing_credits_paid_back_duly_till_now,furniture/equipment,7721,0,1,1,female_divorced/separated/married,female,none,2,building_society_savings_agreement/life_insurance,30,none,own,1,2,1,1,0,1
109,2,14,existing_credits_paid_back_duly_till_now,business,1410,3,4,1,male_married/widowed,male,none,2,real_estate,35,none,own,1,2,1,1,1,1
110,2,6,delay_in_paying_off_in_the_past,business,1449,2,4,1,male_divorced/separated,male,none,2,car_or_other,31,bank,own,2,2,2,0,1,1
111,3,15,existing_credits_paid_back_duly_till_now,education,392,1,1,4,female_divorced/separated/married,female,none,4,building_society_savings_agreement/life_insurance,23,none,rent,1,2,1,1,1,1
112,2,18,existing_credits_paid_back_duly_till_now,car_(new),6260,1,3,3,male_single,male,none,3,real_estate,28,none,rent,1,1,1,0,1,1
113,0,36,critical_account/other_credits_existing_not_at_this_bank,car_(new),7855,1,2,4,female_divorced/separated/married,female,none,2,real_estate,25,stores,own,2,2,1,1,1,0
114,1,12,existing_credits_paid_back_duly_till_now,radio/television,1680,3,4,3,male_married/widowed,male,none,1,real_estate,35,none,own,1,2,1,0,1,1
115,0,48,critical_account/other_credits_existing_not_at_this_bank,radio/television,3578,0,4,4,male_single,male,none,1,real_estate,47,none,own,1,2,1,1,1,1
116,1,42,existing_credits_paid_back_duly_till_now,radio/television,7174,0,3,4,female_divorced/separated/married,female,none,3,car_or_other,30,none,own,1,3,1,1,1,0
117,1,10,critical_account/other_credits_existing_not_at_this_bank,furniture/equipment,2132,0,1,2,female_divorced/separated/married,female,co-applicant,3,real_estate,27,none,rent,2,2,1,0,0,1
118,1,33,critical_account/other_credits_existing_not_at_this_bank,furniture/equipment,4281,3,2,1,female_divorced/separated/married,female,none,4,car_or_other,23,none,own,2,2,1,0,1,0
119,2,12,critical_account/other_credits_existing_not_at_this_bank,car_(new),2366,3,3,3,male_divorced/separated,male,none,3,car_or_other,36,none,own,1,3,1,1,1,1
120,1,21,existing_credits_paid_back_duly_till_now,radio/television,1835,1,2,3,female_divorced/separated/married,female,none,2,real_estate,25,none,own,2,2,1,1,1,0
121,0,24,critical_account/other_credits_existing_not_at_this_bank,car_(used),3868,1,4,4,female_divorced/separated/married,female,none,2,car_or_other,41,none,rent,2,3,1,1,1,1
122,0,12,existing_credits_paid_back_duly_till_now,furniture/equipment,1768,1,2,3,male_single,male,none,2,real_estate,24,none,rent,1,1,1,0,1,1
123,3,10,critical_account/other_credits_existing_not_at_this_bank,car_(new),781,1,4,4,male_single,male,none,4,unknown/no_property,63,none,for free,2,2,1,1,1,1
124,2,18,existing_credits_paid_back_duly_till_now,furniture/equipment,1924,0,1,4,female_divorced/separated/married,female,none,3,real_estate,27,none,rent,1,2,1,0,1,0
125,1,12,critical_account/other_credits_existing_not_at_this_bank,car_(new),2121,1,2,4,male_single,male,none,2,building_society_savings_agreement/life_insurance,30,none,own,2,2,1,0,1,1
126,1,12,existing_credits_paid_back_duly_till_now,radio/television,701,1,2,4,male_married/widowed,male,none,2,real_estate,40,none,own,1,1,1,0,1,1
127,2,12,existing_credits_paid_back_duly_till_now,repairs,639,1,2,4,male_single,male,none,2,car_or_other,30,none,own,1,2,1,0,1,0
128,2,12,critical_account/other_credits_existing_not_at_this_bank,car_(used),1860,1,0,4,male_single,male,none,2,car_or_other,34,none,own,2,3,1,1,1,1
129,1,12,critical_account/other_credits_existing_not_at_this_bank,car_(new),3499,1,2,3,female_divorced/separated/married,female,co-applicant,2,real_estate,29,none,own,2,2,1,0,1,0
130,2,48,existing_credits_paid_back_duly_till_now,car_(new),8487,0,3,1,female_divorced/separated/married,female,none,2,car_or_other,24,none,own,1,2,1,0,1,1
131,1,36,delay_in_paying_off_in_the_past,education,6887,1,2,4,male_single,male,none,3,building_society_savings_agreement/life_insurance,29,stores,own,1,2,1,1,1,0
132,0,15,existing_credits_paid_back_duly_till_now,furniture/equipment,2708,1,1,2,male_single,male,none,3,building_society_savings_agreement/life_insurance,27,bank,own,2,1,1,0,1,1
133,0,18,existing_credits_paid_back_duly_till_now,furniture/equipment,1984,1,2,4,male_single,male,none,4,unknown/no_property,47,bank,for free,2,2,1,0,1,1
134,0,60,existing_credits_paid_back_duly_till_now,radio/television,10144,2,3,2,female_divorced/separated/married,female,none,4,real_estate,21,none,own,1,2,1,1,1,1
135,0,12,critical_account/other_credits_existing_not_at_this_bank,radio/television,1240,0,4,4,female_divorced/separated/married,female,none,2,real_estate,38,none,own,2,2,1,1,1,1
136,0,27,delay_in_paying_off_in_the_past,car_(used),8613,4,2,2,male_single,male,none,2,car_or_other,27,none,own,2,2,1,0,1,1
137,2,12,existing_credits_paid_back_duly_till_now,radio/television,766,3,2,4,male_single,male,none,3,real_estate,66,none,own,1,1,1,0,1,0
138,2,15,critical_account/other_credits_existing_not_at_this_bank,radio/television,2728,0,3,4,male_single,male,guarantor,2,real_estate,35,bank,own,3,2,1,1,1,1
139,3,12,existing_credits_paid_back_duly_till_now,radio/television,1881,1,2,2,female_divorced/separated/married,female,none,2,car_or_other,44,none,rent,1,1,1,1,1,1
140,3,6,existing_credits_paid_back_duly_till_now,car_(new),709,4,1,2,male_married/widowed,male,none,2,real_estate,27,none,own,1,0,1,0,0,1
141,2,36,existing_credits_paid_back_duly_till_now,radio/television,4795,1,1,4,female_divorced/separated/married,female,none,1,unknown/no_property,30,none,own,1,3,1,1,1,1
142,1,27,existing_credits_paid_back_duly_till_now,radio/television,3416,1,2,3,male_single,male,none,2,car_or_other,27,none,own,1,3,1,0,1,1
