idx,duration_in_month,credit_amount,installment_rate_in_percentage_of_disposable_income,present_residence_since,age_in_years,age>25,age>35,number_of_existing_credits_at_this_bank,number_of_people_being_liable_to_provide_maintenance_for,status_of_existing_checking_account,savings_account_bonds,present_employment_since,job,telephone,foreign_worker,credit_history_all_credits_at_this_bank_paid_back_duly,credit_history_critical_account/other_credits_existing_not_at_this_bank,credit_history_delay_in_paying_off_in_the_past,credit_history_existing_credits_paid_back_duly_till_now,credit_history_no_credits_taken/all_credits_paid_back_duly,purpose_business,purpose_car_(new),purpose_car_(used),purpose_domestic_appliances,purpose_education,purpose_furniture/equipment,purpose_others,purpose_radio/television,purpose_repairs,purpose_retraining,sex,personal_status_and_sex_female_divorced/separated/married,personal_status_and_sex_male_divorced/separated,personal_status_and_sex_male_married/widowed,personal_status_and_sex_male_single,other_debtors/guarantors_co-applicant,other_debtors/guarantors_guarantor,other_debtors/guarantors_none,property_building_society_savings_agreement/life_insurance,property_car_or_other,property_real_estate,property_unknown/no_property,other_installment_plans_bank,other_installment_plans_none,other_installment_plans_stores,housing_for free,housing_own,housing_rent,credit_risk
1,6,1169,4,4,67,1,1,2,1,1,0,4,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1
2,48,5951,2,2,22,1,1,1,1,2,1,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
3,12,2096,2,3,49,0,0,1,2,0,1,3,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1
4,42,7882,2,4,45,1,1,1,2,1,1,3,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1
5,24,4870,3,4,53,1,1,2,2,1,1,2,2,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0
6,36,9055,2,4,35,1,1,1,2,0,0,2,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1
7,24,2835,3,4,53,1,0,1,1,0,3,4,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1
8,36,6948,2,2,35,1,1,1,1,2,1,2,3,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1
9,12,3059,2,4,61,1,0,1,1,0,4,3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1
10,30,5234,4,2,28,1,1,2,1,2,1,0,3,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0
11,12,1295,3,1,25,1,0,1,1,2,1,1,2,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
12,48,4308,3,4,24,0,0,1,1,1,1,1,2,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0
13,12,1567,1,1,22,0,0,1,1,2,1,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1
14,24,1199,4,4,60,0,0,2,1,1,1,4,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0
15,15,1403,2,4,28,1,1,1,1,1,1,2,2,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1
16,24,1282,4,2,32,1,0,1,1,1,2,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0
17,24,2424,4,4,53,1,0,2,1,0,0,4,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1
18,30,8072,2,3,25,1,1,3,1,1,0,1,2,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1
19,24,12579,4,2,44,0,0,1,1,2,1,4,3,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0
20,24,3430,3,2,31,1,1,1,2,0,3,4,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1
21,9,2134,4,4,48,1,0,3,1,0,1,2,2,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1
22,6,2647,2,3,44,1,1,1,2,1,3,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1
23,10,2241,1,3,48,1,1,2,2,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1
24,12,1804,3,4,44,1,1,1,1,2,2,1,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1
25,10,2069,2,1,26,1,1,2,1,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1
26,6,1374,1,2,36,1,0,1,1,1,1,2,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1
27,6,426,4,4,39,1,1,1,1,0,1,4,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1
